Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2022,4,Buenos Aires,28.934,23.347,259.866,281.55,244.555,98.67,3.760.109,97.634,4.794.665
2022,4,Capital Federal,516.0,5.096,31.320,64.653,36.336,8.116,1.299.117,106.772,1.551.926
2022,4,Catamarca,71.0,315.0,2.716,5.028,4.638,3.122,52.739,2.28,70.909
2022,4,Chaco,461.0,771.0,16.067,17.846,6.704,3.039,94.866,3.909,143.663
2022,4,Chubut,109.0,1.614,46.457,31.007,34.728,15.77,19.048,20.026,168.759
2022,4,Córdoba,99.0,9.929,143.686,108.195,63.12,20.691,686.330,17.61,1.049.660
2022,4,Corrientes,67.0,3.282,22.647,24.858,7.025,3.77,85.806,7.998,155.453
2022,4,Entre Ríos,107.0,4.722,45.629,46.7,20.927,22.483,130.406,0.0,270.974
2022,4,Formosa,84.0,245.0,22.458,12.391,6.724,310.0,18.930,698.0,61.840
2022,4,Jujuy,58.0,1.763,18.652,14.07,36.43,335.0,46.910,0.0,118.218
2022,4,La Pampa,68.0,1.687,52.618,10.334,9.167,4.479,19.783,16.028,114.164
2022,4,La Rioja,18.0,595.0,2.531,3.01,24.435,5.029,50.644,0.0,86.262
2022,4,Mendoza,103.0,2.954,35.541,20.355,35.935,14.909,161.163,21.144,292.104
2022,4,Misiones,51.0,3.51,35.622,21.373,12.196,3.182,101.745,8.59,186.269
2022,4,Neuquén,168.0,994.0,38.814,13.96,13.008,5.739,85.247,2.25,160.180
2022,4,Río Negro,111.0,1.081,32.053,13.931,20.442,7.335,57.495,29.644,162.092
2022,4,Salta,114.0,1.197,31.530,71.105,5.036,117.0,90.014,6.747,205.860
2022,4,San Juan,24.0,2.027,30.069,11.247,20.44,8.188,19.991,11.84,103.826
2022,4,San Luis,60.0,624.0,11.785,24.684,13.981,78.506,2.227,3.353,135.220
2022,4,Santa Cruz,51.0,6.81,11.616,11.509,10.374,3.236,5.559,1.048,50.203
