Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2022,4,Buenos Aires,5,6.0,5
2022,4,Capital Federal,2,2.0,2
2022,4,Catamarca,71,1.0,71
2022,4,Chaco,144,5.0,144
2022,4,Chubut,168,904.0,169
2022,4,Córdoba,1,68.0,1
2022,4,Corrientes,155,4.0,155
2022,4,Entre Ríos,271,22.0,271
2022,4,Formosa,62,0.0,62
2022,4,Jujuy,118,0.0,118
2022,4,La Pampa,114,171.0,114
2022,4,La Rioja,86,4.0,86
2022,4,Mendoza,291,777.0,292
2022,4,Misiones,186,0.0,186
2022,4,Neuquén,160,468.0,160
2022,4,Río Negro,162,548.0,162
2022,4,Salta,206,5.0,206
2022,4,San Juan,104,281.0,104
2022,4,San Luis,135,192.0,135
2022,4,Santa Cruz,50,198.0,50
2022,4,Santa Fe,888,110.0,888
2022,4,Santiago Del Estero,119,2.0,119
2022,4,Tierra Del Fuego,55,312.0,55
2022,4,Tucumán,263,30.0,263
2022,3,Buenos Aires,5,6.0,5
2022,3,Capital Federal,2,2.0,2
2022,3,Catamarca,70,1.0,70
2022,3,Chaco,144,5.0,144
2022,3,Chubut,165,904.0,166
2022,3,Córdoba,1,68.0,1
2022,3,Corrientes,145,4.0,145
2022,3,Entre Ríos,269,22.0,269
2022,3,Formosa,69,1.0,69
2022,3,Jujuy,119,0.0,119
2022,3,La Pampa,116,171.0,116
2022,3,La Rioja,87,4.0,87
2022,3,Mendoza,289,777.0,290
2022,3,Misiones,182,0.0,182
2022,3,Neuquén,163,468.0,163
2022,3,Río Negro,160,548.0,161
2022,3,Salta,205,5.0,205
2022,3,San Juan,103,281.0,103
2022,3,San Luis,122,182.0,122
2022,3,Santa Cruz,49,198.0,50
2022,3,Santa Fe,888,110.0,888
2022,3,Santiago Del Estero,119,2.0,119
2022,3,Tierra Del Fuego,54,312.0,54
2022,3,Tucumán,263,30.0,263
2022,2,Buenos Aires,5,6.0,5
2022,2,Capital Federal,2,2.0,2
2022,2,Catamarca,67,1.0,67
2022,2,Chaco,144,5.0,144
2022,2,Chubut,162,904.0,163
2022,2,Córdoba,1,68.0,1
2022,2,Corrientes,145,4.0,145
2022,2,Entre Ríos,269,22.0,269
2022,2,Formosa,68,0.0,68
2022,2,Jujuy,115,0.0,115
2022,2,La Pampa,111,171.0,112
2022,2,La Rioja,86,4.0,86
2022,2,Mendoza,279,777.0,280
2022,2,Misiones,179,0.0,179
2022,2,Neuquén,162,468.0,162
2022,2,Río Negro,159,548.0,160
2022,2,Salta,203,5.0,203
2022,2,San Juan,100,281.0,100
2022,2,San Luis,122,182.0,122
2022,2,Santa Cruz,49,198.0,49
2022,2,Santa Fe,879,110.0,879
2022,2,Santiago Del Estero,118,2.0,118
2022,2,Tierra Del Fuego,53,312.0,54
2022,2,Tucumán,254,30.0,255
2022,1,Buenos Aires,5,6.0,5
2022,1,Capital Federal,1,2.0,1
2022,1,Catamarca,62,1.0,62
2022,1,Chaco,144,5.0,144
2022,1,Chubut,171,927.0,172
2022,1,Córdoba,1,74.0,1
2022,1,Corrientes,143,4.0,143
2022,1,Entre Ríos,268,22.0,268
2022,1,Formosa,55,0.0,55
2022,1,Jujuy,117,0.0,117
2022,1,La Pampa,110,172.0,110
2022,1,La Rioja,84,4.0,84
2022,1,Mendoza,274,786.0,275
2022,1,Misiones,172,0.0,172
2022,1,Neuquén,149,471.0,150
2022,1,Río Negro,157,553.0,157
2022,1,Salta,198,5.0,198
2022,1,San Juan,88,290.0,88
2022,1,San Luis,120,185.0,120
2022,1,Santa Cruz,49,204.0,49
2022,1,Santa Fe,870,115.0,870
2022,1,Santiago Del Estero,116,2.0,116
2022,1,Tierra Del Fuego,52,313.0,53
2022,1,Tucumán,246,30.0,246
2021,4,Buenos Aires,5,6.0,5
2021,4,Capital Federal,1,2.0,1
2021,4,Catamarca,59,1.0,59
2021,4,Chaco,144,5.0,144
2021,4,Chubut,159,944.0,160
2021,4,Córdoba,987,77.0,987
2021,4,Corrientes,136,4.0,136
2021,4,Entre Ríos,265,22.0,265
2021,4,Formosa,54,0.0,54
2021,4,Jujuy,114,0.0,114
2021,4,La Pampa,107,173.0,107
2021,4,La Rioja,83,4.0,83
2021,4,Mendoza,267,804.0,268
2021,4,Misiones,171,0.0,171
2021,4,Neuquén,147,477.0,147
2021,4,Río Negro,153,564.0,154
2021,4,Salta,199,6.0,199
2021,4,San Juan,80,291.0,80
2021,4,San Luis,119,187.0,119
2021,4,Santa Cruz,48,210.0,48
2021,4,Santa Fe,866,176.0,866
2021,4,Santiago Del Estero,116,2.0,116
2021,4,Tierra Del Fuego,52,315.0,52
2021,4,Tucumán,239,30.0,239
2021,3,Buenos Aires,4,5.0,4
2021,3,Capital Federal,1,2.0,1
2021,3,Catamarca,56,1.0,56
2021,3,Chaco,140,3.0,140
2021,3,Chubut,155,800.0,156
2021,3,Córdoba,947,62.0,947
2021,3,Corrientes,134,3.0,134
2021,3,Entre Ríos,260,15.0,260
2021,3,Formosa,53,0.0,53
2021,3,Jujuy,111,0.0,111
2021,3,La Pampa,100,116.0,100
2021,3,La Rioja,82,3.0,82
2021,3,Mendoza,255,619.0,256
2021,3,Misiones,159,0.0,159
2021,3,Neuquén,139,373.0,140
2021,3,Río Negro,144,501.0,145
2021,3,Salta,196,2.0,196
2021,3,San Juan,79,256.0,79
2021,3,San Luis,118,148.0,118
2021,3,Santa Cruz,49,197.0,49
2021,3,Santa Fe,841,151.0,842
2021,3,Santiago Del Estero,115,1.0,115
2021,3,Tierra Del Fuego,50,289.0,50
2021,3,Tucumán,232,25.0,232
2021,2,Buenos Aires,4,5.0,4
2021,2,Capital Federal,1,2.0,1
2021,2,Catamarca,56,1.0,56
2021,2,Chaco,141,3.0,141
2021,2,Chubut,138,825.0,139
2021,2,Córdoba,931,62.0,931
2021,2,Corrientes,129,3.0,130
2021,2,Entre Ríos,258,15.0,258
2021,2,Formosa,52,0.0,52
2021,2,Jujuy,112,0.0,112
2021,2,La Pampa,98,116.0,98
2021,2,La Rioja,82,3.0,82
2021,2,Mendoza,229,619.0,230
2021,2,Misiones,156,0.0,156
2021,2,Neuquén,138,373.0,138
2021,2,Río Negro,144,501.0,144
2021,2,Salta,192,2.0,192
2021,2,San Juan,79,256.0,79
2021,2,San Luis,123,148.0,123
2021,2,Santa Cruz,49,197.0,49
2021,2,Santa Fe,840,151.0,841
2021,2,Santiago Del Estero,114,1.0,114
2021,2,Tierra Del Fuego,35,289.0,36
2021,2,Tucumán,233,25.0,233
2021,1,Buenos Aires,4,5.0,4
2021,1,Capital Federal,1,1.0,1
2021,1,Catamarca,52,1.0,52
2021,1,Chaco,140,3.0,140
2021,1,Chubut,132,825.0,132
2021,1,Córdoba,911,55.0,911
2021,1,Corrientes,127,3.0,127
2021,1,Entre Ríos,252,13.0,252
2021,1,Formosa,51,0.0,51
2021,1,Jujuy,110,0.0,110
2021,1,La Pampa,97,116.0,97
2021,1,La Rioja,53,3.0,53
2021,1,Mendoza,218,615.0,219
2021,1,Misiones,149,0.0,149
2021,1,Neuquén,133,373.0,133
2021,1,Río Negro,141,501.0,141
2021,1,Salta,188,2.0,188
2021,1,San Juan,78,256.0,78
2021,1,San Luis,119,148.0,119
2021,1,Santa Cruz,46,197.0,46
2021,1,Santa Fe,826,137.0,826
2021,1,Santiago Del Estero,112,1.0,112
2021,1,Tierra Del Fuego,40,289.0,40
2021,1,Tucumán,232,22.0,232
2020,4,Buenos Aires,4,5.0,4
2020,4,Capital Federal,1,1.0,1
2020,4,Catamarca,52,1.0,52
2020,4,Chaco,139,3.0,139
2020,4,Chubut,130,825.0,131
2020,4,Córdoba,903,55.0,903
2020,4,Corrientes,126,3.0,126
2020,4,Entre Ríos,247,13.0,247
2020,4,Formosa,50,0.0,50
2020,4,Jujuy,106,0.0,106
2020,4,La Pampa,97,116.0,97
2020,4,La Rioja,53,3.0,53
2020,4,Mendoza,215,615.0,215
2020,4,Misiones,147,0.0,147
2020,4,Neuquén,133,373.0,133
2020,4,Río Negro,141,501.0,141
2020,4,Salta,187,2.0,187
2020,4,San Juan,72,256.0,73
2020,4,San Luis,119,148.0,119
2020,4,Santa Cruz,40,197.0,41
2020,4,Santa Fe,821,137.0,821
2020,4,Santiago Del Estero,107,1.0,107
2020,4,Tierra Del Fuego,39,289.0,40
2020,4,Tucumán,231,22.0,231
2020,3,Buenos Aires,4,5.0,4
2020,3,Capital Federal,1,1.0,1
2020,3,Catamarca,50,1.0,50
2020,3,Chaco,134,3.0,134
2020,3,Chubut,129,825.0,130
2020,3,Córdoba,867,55.0,867
2020,3,Corrientes,123,3.0,123
2020,3,Entre Ríos,241,13.0,241
2020,3,Formosa,49,0.0,49
2020,3,Jujuy,107,0.0,107
2020,3,La Pampa,94,116.0,94
2020,3,La Rioja,53,3.0,53
2020,3,Mendoza,207,615.0,208
2020,3,Misiones,143,0.0,143
2020,3,Neuquén,129,373.0,129
2020,3,Río Negro,131,501.0,131
2020,3,Salta,181,2.0,181
2020,3,San Juan,77,256.0,77
2020,3,San Luis,116,148.0,117
2020,3,Santa Cruz,39,197.0,39
2020,3,Santa Fe,803,137.0,803
2020,3,Santiago Del Estero,105,1.0,105
2020,3,Tierra Del Fuego,39,289.0,40
2020,3,Tucumán,224,22.0,224
2020,2,Buenos Aires,4,5.0,4
2020,2,Capital Federal,1,1.0,1
2020,2,Catamarca,48,1.0,48
2020,2,Chaco,128,3.0,128
2020,2,Chubut,108,825.0,109
2020,2,Córdoba,836,55.0,836
2020,2,Corrientes,119,3.0,119
2020,2,Entre Ríos,234,13.0,234
2020,2,Formosa,48,0.0,48
2020,2,Jujuy,94,0.0,94
2020,2,La Pampa,90,116.0,90
2020,2,La Rioja,52,3.0,52
2020,2,Mendoza,201,615.0,201
2020,2,Misiones,140,0.0,140
2020,2,Neuquén,126,373.0,126
2020,2,Río Negro,129,501.0,129
2020,2,Salta,178,2.0,178
2020,2,San Juan,70,256.0,70
2020,2,San Luis,114,148.0,114
2020,2,Santa Cruz,39,197.0,39
2020,2,Santa Fe,778,137.0,778
2020,2,Santiago Del Estero,105,1.0,105
2020,2,Tierra Del Fuego,39,289.0,39
2020,2,Tucumán,217,22.0,217
2020,1,Buenos Aires,4,5.0,4
2020,1,Capital Federal,1,1.0,1
2020,1,Catamarca,40,1.0,40
2020,1,Chaco,120,3.0,120
2020,1,Chubut,96,800.0,97
2020,1,Córdoba,811,55.0,811
2020,1,Corrientes,114,3.0,114
2020,1,Entre Ríos,232,13.0,232
2020,1,Formosa,46,0.0,46
2020,1,Jujuy,92,0.0,92
2020,1,La Pampa,89,116.0,89
2020,1,La Rioja,48,3.0,48
2020,1,Mendoza,183,615.0,183
2020,1,Misiones,134,0.0,134
2020,1,Neuquén,121,373.0,122
2020,1,Río Negro,126,501.0,126
2020,1,Salta,170,2.0,170
2020,1,San Juan,64,256.0,64
2020,1,San Luis,110,148.0,111
2020,1,Santa Cruz,39,197.0,39
2020,1,Santa Fe,771,137.0,771
2020,1,Santiago Del Estero,103,1.0,103
2020,1,Tierra Del Fuego,39,289.0,39
2020,1,Tucumán,200,22.0,200
2019,4,Buenos Aires,4,5.0,4
2019,4,Capital Federal,1,1.0,1
2019,4,Catamarca,38,1.0,38
2019,4,Chaco,118,3.0,118
2019,4,Chubut,95,810.0,96
2019,4,Córdoba,807,55.0,807
2019,4,Corrientes,114,3.0,114
2019,4,Entre Ríos,239,13.0,239
2019,4,Formosa,47,0.0,47
2019,4,Jujuy,89,0.0,89
2019,4,La Pampa,90,119.0,90
2019,4,La Rioja,49,3.0,49
2019,4,Mendoza,185,623.0,186
2019,4,Misiones,136,0.0,136
2019,4,Neuquén,116,376.0,116
2019,4,Río Negro,127,504.0,127
2019,4,Salta,172,2.0,172
2019,4,San Juan,65,259.0,65
2019,4,San Luis,108,148.0,108
2019,4,Santa Cruz,39,200.0,39
2019,4,Santa Fe,769,150.0,769
2019,4,Santiago Del Estero,104,1.0,104
2019,4,Tierra Del Fuego,40,291.0,40
2019,4,Tucumán,199,23.0,199
2019,3,Buenos Aires,4,10.0,4
2019,3,Capital Federal,1,3.0,1
2019,3,Catamarca,32,9.0,32
2019,3,Chaco,114,13.0,114
2019,3,Chubut,87,2.0,89
2019,3,Córdoba,783,107.0,783
2019,3,Corrientes,113,10.0,113
2019,3,Entre Ríos,238,45.0,238
2019,3,Formosa,46,0.0,46
2019,3,Jujuy,87,1.0,87
2019,3,La Pampa,91,269.0,91
2019,3,La Rioja,50,18.0,50
2019,3,Mendoza,223,1.0,224
2019,3,Misiones,134,0.0,134
2019,3,Neuquén,123,2.0,125
2019,3,Río Negro,143,904.0,144
2019,3,Salta,152,1.0,152
2019,3,San Juan,73,563.0,73
2019,3,San Luis,122,291.0,123
2019,3,Santa Cruz,38,328.0,38
2019,3,Santa Fe,761,228.0,761
2019,3,Santiago Del Estero,133,2.0,133
2019,3,Tierra Del Fuego,48,544.0,49
2019,3,Tucumán,164,32.0,164
2019,2,Buenos Aires,4,10.0,4
2019,2,Capital Federal,1,3.0,1
2019,2,Catamarca,34,9.0,34
2019,2,Chaco,109,13.0,109
2019,2,Chubut,86,2.0,88
2019,2,Córdoba,775,105.0,775
2019,2,Corrientes,112,10.0,112
2019,2,Entre Ríos,236,44.0,236
2019,2,Formosa,46,0.0,46
2019,2,Jujuy,87,1.0,87
2019,2,La Pampa,90,268.0,90
2019,2,La Rioja,50,18.0,50
2019,2,Mendoza,223,1.0,224
2019,2,Misiones,133,0.0,133
2019,2,Neuquén,121,2.0,123
2019,2,Río Negro,138,915.0,139
2019,2,Salta,143,1.0,143
2019,2,San Juan,69,564.0,70
2019,2,San Luis,117,291.0,117
2019,2,Santa Cruz,30,325.0,31
2019,2,Santa Fe,743,226.0,743
2019,2,Santiago Del Estero,127,2.0,127
2019,2,Tierra Del Fuego,47,544.0,47
2019,2,Tucumán,166,32.0,166
2019,1,Buenos Aires,4,10.0,4
2019,1,Capital Federal,1,3.0,1
2019,1,Catamarca,34,9.0,34
2019,1,Chaco,104,13.0,104
2019,1,Chubut,78,2.0,80
2019,1,Córdoba,744,105.0,744
2019,1,Corrientes,102,10.0,102
2019,1,Entre Ríos,232,44.0,232
2019,1,Formosa,45,0.0,45
2019,1,Jujuy,90,1.0,90
2019,1,La Pampa,89,268.0,89
2019,1,La Rioja,52,18.0,52
2019,1,Mendoza,205,1.0,206
2019,1,Misiones,123,0.0,123
2019,1,Neuquén,112,2.0,114
2019,1,Río Negro,120,915.0,121
2019,1,Salta,136,1.0,136
2019,1,San Juan,62,564.0,62
2019,1,San Luis,96,291.0,96
2019,1,Santa Cruz,25,325.0,25
2019,1,Santa Fe,737,227.0,737
2019,1,Santiago Del Estero,90,2.0,90
2019,1,Tierra Del Fuego,46,544.0,46
2019,1,Tucumán,172,32.0,172
2018,4,Buenos Aires,4,10.0,4
2018,4,Capital Federal,1,3.0,1
2018,4,Catamarca,34,9.0,34
2018,4,Chaco,103,13.0,103
2018,4,Chubut,77,2.0,79
2018,4,Córdoba,737,105.0,737
2018,4,Corrientes,101,10.0,101
2018,4,Entre Ríos,222,44.0,222
2018,4,Formosa,45,0.0,45
2018,4,Jujuy,90,1.0,90
2018,4,La Pampa,85,268.0,86
2018,4,La Rioja,52,18.0,52
2018,4,Mendoza,205,1.0,206
2018,4,Misiones,116,0.0,116
2018,4,Neuquén,112,2.0,114
2018,4,Río Negro,116,915.0,117
2018,4,Salta,135,1.0,135
2018,4,San Juan,62,564.0,62
2018,4,San Luis,96,291.0,96
2018,4,Santa Cruz,24,325.0,25
2018,4,Santa Fe,720,229.0,720
2018,4,Santiago Del Estero,89,2.0,89
2018,4,Tierra Del Fuego,46,544.0,46
2018,4,Tucumán,172,32.0,172
2018,3,Buenos Aires,4,11.0,4
2018,3,Capital Federal,1,7.0,1
2018,3,Catamarca,34,11.0,34
2018,3,Chaco,102,12.0,102
2018,3,Chubut,101,2.0,104
2018,3,Córdoba,726,94.0,726
2018,3,Corrientes,99,11.0,99
2018,3,Entre Ríos,205,48.0,205
2018,3,Formosa,45,0.0,45
2018,3,Jujuy,45,1.0,45
2018,3,La Pampa,83,244.0,83
2018,3,La Rioja,52,17.0,52
2018,3,Mendoza,206,1.0,207
2018,3,Misiones,108,0.0,108
2018,3,Neuquén,115,2.0,117
2018,3,Río Negro,112,1.0,113
2018,3,Salta,133,1.0,133
2018,3,San Juan,64,658.0,64
2018,3,San Luis,74,300.0,74
2018,3,Santa Cruz,34,434.0,34
2018,3,Santa Fe,695,217.0,695
2018,3,Santiago Del Estero,86,2.0,86
2018,3,Tierra Del Fuego,45,508.0,46
2018,3,Tucumán,171,31.0,171
2018,2,Buenos Aires,3,11.0,4
2018,2,Capital Federal,1,7.0,1
2018,2,Catamarca,34,11.0,34
2018,2,Chaco,99,12.0,99
2018,2,Chubut,98,2.0,101
2018,2,Córdoba,713,94.0,713
2018,2,Corrientes,98,11.0,98
2018,2,Entre Ríos,200,48.0,200
2018,2,Formosa,45,,45
2018,2,Jujuy,45,1.0,45
2018,2,La Pampa,82,244.0,82
2018,2,La Rioja,52,17.0,52
2018,2,Mendoza,199,1.0,201
2018,2,Misiones,106,,106
2018,2,Neuquén,114,2.0,116
2018,2,Río Negro,111,1.0,112
2018,2,Salta,134,1.0,134
2018,2,San Juan,63,658.0,64
2018,2,San Luis,21,300.0,21
2018,2,Santa Cruz,34,435.0,34
2018,2,Santa Fe,684,309.0,685
2018,2,Santiago Del Estero,84,2.0,84
2018,2,Tierra Del Fuego,44,508.0,45
2018,2,Tucumán,170,31.0,170
2018,1,Buenos Aires,3,11.0,3
2018,1,Capital Federal,1,7.0,1
2018,1,Catamarca,34,11.0,34
2018,1,Chaco,97,12.0,97
2018,1,Chubut,96,2.0,98
2018,1,Córdoba,714,101.0,714
2018,1,Corrientes,94,11.0,94
2018,1,Entre Ríos,197,48.0,197
2018,1,Formosa,32,0.0,32
2018,1,Jujuy,44,1.0,44
2018,1,La Pampa,83,396.0,83
2018,1,La Rioja,52,17.0,52
2018,1,Mendoza,199,1.0,201
2018,1,Misiones,104,0.0,104
2018,1,Neuquén,116,2.0,118
2018,1,Río Negro,110,1.0,111
2018,1,Salta,133,1.0,133
2018,1,San Juan,63,658.0,63
2018,1,San Luis,21,300.0,21
2018,1,Santa Cruz,34,435.0,34
2018,1,Santa Fe,680,309.0,680
2018,1,Santiago Del Estero,83,2.0,83
2018,1,Tierra Del Fuego,31,508.0,32
2018,1,Tucumán,168,31.0,168
2017,4,Buenos Aires,3,11.0,3
2017,4,Capital Federal,2,7.0,2
2017,4,Catamarca,30,10.0,30
2017,4,Chaco,97,12.0,97
2017,4,Chubut,91,2.0,93
2017,4,Córdoba,710,105.0,710
2017,4,Corrientes,94,11.0,94
2017,4,Entre Ríos,194,49.0,194
2017,4,Formosa,32,0.0,32
2017,4,Jujuy,44,1.0,44
2017,4,La Pampa,82,396.0,82
2017,4,La Rioja,52,17.0,52
2017,4,Mendoza,179,1.0,180
2017,4,Misiones,104,0.0,104
2017,4,Neuquén,115,2.0,117
2017,4,Río Negro,109,1.0,110
2017,4,Salta,133,1.0,133
2017,4,San Juan,58,659.0,59
2017,4,San Luis,15,300.0,15
2017,4,Santa Cruz,29,434.0,29
2017,4,Santa Fe,672,323.0,672
2017,4,Santiago Del Estero,69,2.0,69
2017,4,Tierra Del Fuego,28,508.0,29
2017,4,Tucumán,162,34.0,162
2017,3,Buenos Aires,3,11.0,3
2017,3,Capital Federal,2,7.0,2
2017,3,Catamarca,33,11.0,33
2017,3,Chaco,94,12.0,94
2017,3,Chubut,81,2.0,84
2017,3,Córdoba,697,108.0,697
2017,3,Corrientes,93,12.0,93
2017,3,Entre Ríos,185,50.0,185
2017,3,Formosa,32,0.0,32
2017,3,Jujuy,43,1.0,43
2017,3,La Pampa,79,410.0,80
2017,3,La Rioja,52,17.0,52
2017,3,Mendoza,191,2.0,192
2017,3,Misiones,100,0.0,100
2017,3,Neuquén,114,2.0,116
2017,3,Río Negro,106,1.0,107
2017,3,Salta,133,1.0,133
2017,3,San Juan,62,660.0,62
2017,3,San Luis,21,311.0,22
2017,3,Santa Cruz,33,468.0,34
2017,3,Santa Fe,662,256.0,662
2017,3,Santiago Del Estero,83,2.0,83
2017,3,Tierra Del Fuego,31,583.0,31
2017,3,Tucumán,161,33.0,161
2017,2,Buenos Aires,3,11.0,3
2017,2,Capital Federal,2,8.0,2
2017,2,Catamarca,27,13.0,27
2017,2,Chaco,91,14.0,91
2017,2,Chubut,62,2.0,64
2017,2,Córdoba,658,133.0,658
2017,2,Corrientes,90,12.0,90
2017,2,Entre Ríos,183,57.0,183
2017,2,Formosa,30,0.0,30
2017,2,Jujuy,43,1.0,43
2017,2,La Pampa,73,449.0,73
2017,2,La Rioja,16,18.0,16
2017,2,Mendoza,169,1.0,171
2017,2,Misiones,100,0.0,100
2017,2,Neuquén,115,2.0,117
2017,2,Río Negro,101,998.0,102
2017,2,Salta,109,1.0,109
2017,2,San Juan,51,620.0,52
2017,2,San Luis,13,315.0,13
2017,2,Santa Cruz,26,369.0,26
2017,2,Santa Fe,567,362.0,567
2017,2,Santiago Del Estero,33,2.0,33
2017,2,Tierra Del Fuego,32,619.0,33
2017,2,Tucumán,154,37.0,154
2017,1,Buenos Aires,3,11.0,3
2017,1,Capital Federal,1,8.0,1
2017,1,Catamarca,26,13.0,26
2017,1,Chaco,89,14.0,89
2017,1,Chubut,62,2.0,64
2017,1,Córdoba,641,133.0,641
2017,1,Corrientes,89,12.0,89
2017,1,Entre Ríos,180,57.0,180
2017,1,Formosa,30,0.0,30
2017,1,Jujuy,43,1.0,43
2017,1,La Pampa,71,455.0,72
2017,1,La Rioja,16,18.0,16
2017,1,Mendoza,169,1.0,171
2017,1,Misiones,98,0.0,98
2017,1,Neuquén,113,2.0,115
2017,1,Río Negro,100,1.0,101
2017,1,Salta,108,1.0,108
2017,1,San Juan,51,620.0,52
2017,1,San Luis,13,315.0,13
2017,1,Santa Cruz,26,370.0,26
2017,1,Santa Fe,563,362.0,563
2017,1,Santiago Del Estero,34,2.0,34
2017,1,Tierra Del Fuego,32,619.0,33
2017,1,Tucumán,153,37.0,153
2016,4,Buenos Aires,3,11.0,3
2016,4,Capital Federal,1,8.0,1
2016,4,Catamarca,27,13.0,27
2016,4,Chaco,89,14.0,89
2016,4,Chubut,62,2.0,64
2016,4,Córdoba,636,133.0,637
2016,4,Corrientes,88,12.0,88
2016,4,Entre Ríos,180,57.0,180
2016,4,Formosa,30,0.0,30
2016,4,Jujuy,43,1.0,43
2016,4,La Pampa,71,460.0,72
2016,4,La Rioja,16,18.0,16
2016,4,Mendoza,169,1.0,171
2016,4,Misiones,97,0.0,97
2016,4,Neuquén,112,2.0,114
2016,4,Río Negro,100,1.0,101
2016,4,Salta,107,1.0,107
2016,4,San Juan,51,620.0,52
2016,4,San Luis,13,315.0,13
2016,4,Santa Cruz,26,370.0,26
2016,4,Santa Fe,561,362.0,562
2016,4,Santiago Del Estero,35,2.0,35
2016,4,Tierra Del Fuego,32,619.0,33
2016,4,Tucumán,152,37.0,152
2016,3,Buenos Aires,3,11.0,3
2016,3,Capital Federal,1,8.0,1
2016,3,Catamarca,27,13.0,27
2016,3,Chaco,89,14.0,89
2016,3,Chubut,62,2.0,64
2016,3,Córdoba,642,133.0,643
2016,3,Corrientes,88,12.0,88
2016,3,Entre Ríos,181,57.0,181
2016,3,Formosa,28,0.0,28
2016,3,Jujuy,43,1.0,43
2016,3,La Pampa,70,461.0,70
2016,3,La Rioja,17,18.0,17
2016,3,Mendoza,169,1.0,171
2016,3,Misiones,98,0.0,98
2016,3,Neuquén,110,2.0,113
2016,3,Río Negro,100,1.0,101
2016,3,Salta,108,1.0,108
2016,3,San Juan,51,620.0,52
2016,3,San Luis,13,315.0,13
2016,3,Santa Cruz,26,371.0,26
2016,3,Santa Fe,567,386.0,567
2016,3,Santiago Del Estero,36,2.0,36
2016,3,Tierra Del Fuego,31,619.0,32
2016,3,Tucumán,151,37.0,151
2016,2,Buenos Aires,3,13.0,3
2016,2,Capital Federal,1,10.0,1
2016,2,Catamarca,27,13.0,27
2016,2,Chaco,88,16.0,88
2016,2,Chubut,62,2.0,64
2016,2,Córdoba,635,234.0,635
2016,2,Corrientes,87,24.0,87
2016,2,Entre Ríos,178,179.0,178
2016,2,Formosa,29,1.0,29
2016,2,Jujuy,41,2.0,41
2016,2,La Pampa,68,485.0,69
2016,2,La Rioja,17,18.0,17
2016,2,Mendoza,169,2.0,171
2016,2,Misiones,96,7.0,96
2016,2,Neuquén,108,2.0,111
2016,2,Río Negro,100,1.0,101
2016,2,Salta,105,3.0,105
2016,2,San Juan,51,621.0,52
2016,2,San Luis,13,317.0,13
2016,2,Santa Cruz,26,356.0,26
2016,2,Santa Fe,564,607.0,564
2016,2,Santiago Del Estero,37,3.0,37
2016,2,Tierra Del Fuego,31,619.0,31
2016,2,Tucumán,149,41.0,149
2016,1,Buenos Aires,3,13.0,3
2016,1,Capital Federal,1,10.0,1
2016,1,Catamarca,26,13.0,26
2016,1,Chaco,87,16.0,87
2016,1,Chubut,62,2.0,64
2016,1,Córdoba,610,234.0,610
