Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Unnamed: 13
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,874,"4,54",- 0,3,- 0,852,- 0,706,"6,98",
BUENOS AIRES,25 de Mayo,Del Valle,6854020,181,- 0,- 0,- 0,10,1,- 0,- 0,192,
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,181,181,
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,- 0,782,- 0,6,167,- 0,- 0,327,"1,28",
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,6,6,
BUENOS AIRES,25 de Mayo,Ernestina,6854030,66,- 0,- 0,- 0,- 0,- 0,- 0,- 0,66,
BUENOS AIRES,25 de Mayo,Pedernales,6854070,568,- 0,- 0,- 0,- 0,- 0,- 0,7,575,
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,19,19,
BUENOS AIRES,9 de Julio,9 de Julio,6588100,"4,31","3,35",82,"6,23",83,1,- 0,831,"14,89",
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,450,- 0,- 0,- 0,60,- 0,- 0,- 0,510,
BUENOS AIRES,9 de Julio,Dudignac,6588040,- 0,- 0,1,- 0,- 0,- 0,- 0,463,464,
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,199,- 0,- 0,2,2,- 0,- 0,- 0,203,
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,- 0,- 0,- 0,118,- 0,- 0,- 0,42,160,
BUENOS AIRES,9 de Julio,Patricios,6588110,81,- 0,- 0,- 0,- 0,- 0,- 0,- 0,81,
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,780,- 0,1,"1,42",1,- 0,- 0,283,"2,48",
BUENOS AIRES,Adolfo Alsina,Maza,6007070,- 0,- 0,- 0,390,- 0,2,- 0,14,406,
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,- 0,- 0,- 0,"1,2",- 0,- 0,- 0,- 0,"1,2",
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,- 0,- 0,- 0,208,- 0,- 0,- 0,- 0,208,
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,- 0,- 0,- 0,60,- 0,- 0,- 0,- 0,60,
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,549,- 0,2,943,- 0,- 0,- 0,313,"1,81",
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,- 0,- 0,- 0,654,6,- 0,- 0,57,717,
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,46,46,
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,14,14,
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,457,- 0,6,1,- 0,- 0,- 0,8,472,
BUENOS AIRES,Alberti,Mechita,6021030,285,- 0,- 0,- 0,- 0,- 0,- 0,- 0,285,
BUENOS AIRES,Almirante Brown,Adrogué,6028010,214,"9,3",59,"11,44",2,1,- 0,26,"21,04",
BUENOS AIRES,Almirante Brown,Burzaco,6028010,142,"16,63",35,"11,33",40,2,- 0,310,"28,49",
BUENOS AIRES,Almirante Brown,Claypole,6028010,5,"7,65",3,"4,14",13,- 0,- 0,2,"11,81",
BUENOS AIRES,Almirante Brown,Don Orione,6028010,- 0,"5,41",- 0,- 0,- 0,- 0,- 0,1,"5,41",
BUENOS AIRES,Almirante Brown,Glew,6028010,55,"8,23",10,"11,65",12,- 0,- 0,54,"20,01",
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,- 0,"7,43",1,"1,41",2,- 0,- 0,1,"8,85",
BUENOS AIRES,Almirante Brown,Longchamps,6028010,30,"9,66",20,"14,74",24,- 0,- 0,1,"24,47",
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,2,"5,42",3,44,2,- 0,- 0,1,"5,47",
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,3,"3,47",4,"4,07",4,- 0,- 0,1,"7,55",
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,37,"10,55",15,"9,93",193,- 0,- 0,340,"21,06",
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,26,"4,3",4,"3,25",131,- 0,- 0,2,"7,71",
BUENOS AIRES,Almirante Brown,San Jose,6028010,3,"9,38",2,167,- 0,3,- 0,1,"9,55",
BUENOS AIRES,Arrecifes,Arrecifes,6077010,906,"1,15",12,"4,39",60,1,- 0,"1,88","8,4",
BUENOS AIRES,Arrecifes,Todd,6077020,- 0,- 0,- 0,304,- 0,- 0,- 0,- 0,304,
BUENOS AIRES,Arrecifes,Viña,6077030,50,60,- 0,- 0,- 0,- 0,- 0,- 0,110,
BUENOS AIRES,Avellaneda,Avellaneda,6035010,"1,49","8,66",48,"5,9",68,5,- 0,80,"16,25",
BUENOS AIRES,Avellaneda,Crucesita,6035010,1,"4,89",- 0,"2,83",2,- 0,- 0,- 0,"7,71",
BUENOS AIRES,Avellaneda,Dock Sud,6035010,11,675,- 0,"2,42",12,- 0,- 0,26,"3,14",
BUENOS AIRES,Avellaneda,Gerli,6035010,3,"5,97",- 0,"4,53",- 0,- 0,- 0,- 0,"10,51",
BUENOS AIRES,Avellaneda,Pineyro,6035010,9,"5,95",1,"2,4",- 0,- 0,- 0,- 0,"8,36",
BUENOS AIRES,Avellaneda,Sarandí,6035010,"1,94","9,97",67,"11,9",4,3,- 0,1,"23,88",
BUENOS AIRES,Avellaneda,Villa Domínico,6035010,16,"8,81",2,"7,11",11,- 0,- 0,626,"16,58",
BUENOS AIRES,Avellaneda,Wilde,6035010,"2,05","12,46",66,"13,34",8,- 0,- 0,87,"28,01",
BUENOS AIRES,Ayacucho,Ayacucho,6042010,"2,05",- 0,2,- 0,- 0,- 0,- 0,139,"2,19",
BUENOS AIRES,Ayacucho,La Constancia,6042020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10,10,
BUENOS AIRES,Ayacucho,Solanet,6042030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,27,27,
BUENOS AIRES,Ayacucho,Udaquiola,6042040,- 0,- 0,- 0,- 0,- 0,1,- 0,46,47,
BUENOS AIRES,Azul,Azul,6049020,"2,42","13,92",51,56,65,2,- 0,"1,15","17,66",
BUENOS AIRES,Azul,Cacharí,6049030,- 0,- 0,2,- 0,- 0,- 0,- 0,521,523,
BUENOS AIRES,Azul,Chillar,6049040,- 0,- 0,- 0,- 0,- 0,1,- 0,565,566,
BUENOS AIRES,Bahía Blanca,Bahía Blanca,6056010,"4,69","103,21",402,"9,97",493,14,- 0,"2,76","121,54",
BUENOS AIRES,Bahía Blanca,Cabildo,6056020,- 0,193,4,6,5,- 0,- 0,153,361,
BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),6056030,373,"1,49",1,- 0,- 0,- 0,- 0,15,"1,88",
BUENOS AIRES,Bahía Blanca,Ingeniero White,6056020,- 0,- 0,- 0,1,- 0,8,- 0,- 0,9,
BUENOS AIRES,Balcarce,Balcarce,6063010,"1,5","11,09",38,37,47,- 0,- 0,883,"13,6",
BUENOS AIRES,Balcarce,Los Pinos,6063020,- 0,- 0,- 0,- 0,9,- 0,- 0,30,39,
BUENOS AIRES,Balcarce,Napaleofú,6063030,- 0,- 0,- 0,15,- 0,- 0,- 0,50,65,
BUENOS AIRES,Balcarce,Ramos Otero,6063040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,8,8,
BUENOS AIRES,Balcarce,San Agustín,6063050,- 0,- 0,- 0,- 0,3,- 0,- 0,72,75,
BUENOS AIRES,Balcarce,Villa Laguna La Brava,6063060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,42,42,
BUENOS AIRES,Baradero,Baradero,6070010,"1,73","6,9",- 0,3,- 0,1,- 0,809,"9,44",
