Año,Trimestre,Provincia,Otros,"0,256 Mbps","0,375 Mbps","0,625 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,2 Mbps","1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps","6,7 Mbps",3 Mbps,"3,2 Mbps","3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,2 Mbps","10,6 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,19 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,11 Mbps","25,5 Mbps",26 Mbps,27 Mbps,28 Mbps,29 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,37 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,47 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps",51 Mbps,"50,25 Mbps",52 Mbps,54 Mbps,55 Mbps,56 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,63 Mbps,64 Mbps,65 Mbps,66 Mbps,67 Mbps,68 Mbps,70 Mbps,71 Mbps,75 Mbps,77 Mbps
2022.0,4.0,Buenos Aires,97.634,18,- 0,- 0,28.724,192,4.611,18.736,- 0,- 0,141,21.152,- 0,26,- 0,53.034,- 0,- 0,41.976,14.269,65,32.973,96.230,- 0,10.945,984,64.913,517,204.191,- 0,- 0,10,22.677,- 0,212,44,85.876,258,2,161,- 0,135.315,- 0,3,1,18,88,40.387,- 0,- 0,- 0,- 0,- 0,- 0,- 0,777.236,1.610,16,1,1.365,4,- 0,- 0,- 0,3.790,9,- 0,- 0,- 0,777,1,463.798,- 0,- 0,- 0,- 0,- 0,113,- 0,1,59,435.439,78,1,- 0,- 0,14,- 0,- 0,- 0,5.655,- 0,90.796,- 0
2022.0,4.0,Capital Federal,106.772,31,- 0,- 0,451.0,34,1.307,3.789,- 0,- 0,- 0,286,- 0,- 0,- 0,3.564,- 0,- 0,11.975,991,- 0,3.427,11.077,- 0,7,- 0,16.652,3,47.991,- 0,- 0,5,12,- 0,- 0,- 0,29.692,5,- 0,- 0,- 0,6.622,- 0,1,- 0,- 0,- 0,2.370,- 0,- 0,- 0,- 0,- 0,- 0,- 0,58.801,- 0,- 0,- 0,9,- 0,- 0,- 0,30,122,- 0,- 0,- 0,- 0,- 0,- 0,76.732,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,- 0,105.156,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,15,- 0,28.406,- 0
2022.0,4.0,Catamarca,2.280,- 0,- 0,- 0,34.0,37,- 0,315,- 0,- 0,- 0,115,- 0,- 0,- 0,979.0,- 0,- 0,- 0,- 0,- 0,71,1.551,- 0,1,- 0,- 0,- 0,5.027,- 0,- 0,- 0,407,- 0,- 0,- 0,742,- 0,- 0,- 0,- 0,3.489,- 0,- 0,- 0,- 0,2.228,1,- 0,- 0,- 0,- 0,- 0,- 0,- 0,893,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,30.388,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
2022.0,4.0,Chaco,3.909,- 0,225,111,234.0,2,- 0,660,- 0,25,- 0,780,- 0,- 0,- 0,3.909,- 0,- 0,167,385,- 0,3.588,7.213,- 0,106,- 0,702,1,17.037,- 0,- 0,- 0,137,- 0,- 0,- 0,2.808,- 0,- 0,- 0,- 0,3.759,- 0,- 0,- 0,- 0,- 0,747,- 0,- 0,- 0,- 0,- 0,- 0,- 0,2.303,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,18,- 0,- 0,- 0,- 0,- 0,- 0,27.538,- 0,1,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
2022.0,4.0,Chubut,20.026,8,- 0,- 0,69.0,32,836,778,- 0,- 0,- 0,5.910,- 0,- 0,- 0,5.397,- 0,- 0,11.441,5.571,- 0,2.407,15.731,- 0,155,- 0,12.646,151,18.055,- 0,- 0,1,14.445,- 0,- 0,32,18.677,- 0,- 0,- 0,- 0,1.573,- 0,- 0,- 0,- 0,2.967,4.134,- 0,- 0,- 0,- 0,- 0,- 0,- 0,9.658,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,18,- 0,- 0,- 0,- 0,140,- 0,17.350,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
2022.0,4.0,Córdoba,17.610,2,- 0,- 0,87.0,10,83,9.846,- 0,- 0,7,8.156,21,154,- 0,35.41,- 0,4,4.897,13.730,- 0,7.765,73.542,7,2.772,- 0,13.784,1.761,89.871,70,- 0,87,8.527,10,35,10,25.249,134,- 0,58,- 0,28.939,1,3,- 0,- 0,2,15.300,111,- 0,31,- 0,- 0,- 0,- 0,5.371,- 0,- 0,- 0,8,- 0,- 0,- 0,- 0,218,- 0,- 0,- 0,- 0,- 0,- 0,202.477,23,- 0,6,- 0,- 0,- 0,- 0,- 0,- 0,4.954,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,6,- 0,54,- 0
2022.0,4.0,Corrientes,7.998,- 0,- 0,- 0,10.0,57,118,3.164,- 0,- 0,- 0,2.959,- 0,- 0,- 0,6.371,- 0,- 0,480,1.738,- 0,1.795,9.304,- 0,- 0,- 0,4.584,- 0,20.274,- 0,- 0,- 0,2,- 0,- 0,- 0,1.773,1.108,- 0,- 0,- 0,4.142,- 0,- 0,- 0,- 0,- 0,425,- 0,- 0,- 0,- 0,- 0,- 0,- 0,3.359,- 0,1,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,25.837,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
2022.0,4.0,Entre Ríos,- 0,1,- 0,- 0,20.0,86,113,4.609,- 0,- 0,- 0,5.452,- 0,- 0,- 0,9.83,- 0,- 0,390,2.610,- 0,5.716,21.631,- 0,1.139,- 0,2.400,- 0,43.161,- 0,- 0,- 0,2.828,- 0,- 0,- 0,4.657,1,- 0,1,- 0,13.440,- 0,- 0,- 0,- 0,1,758,- 0,- 0,- 0,- 0,- 0,- 0,- 0,21.742,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,34.033,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,51,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
2022.0,4.0,Formosa,698,- 0,- 0,- 0,49.0,35,- 0,245,- 0,- 0,- 0,1.631,- 0,- 0,- 0,10.385,- 0,- 0,- 0,3.296,- 0,1.714,5.432,- 0,108,- 0,137,- 0,12.146,- 0,- 0,- 0,40,- 0,- 0,- 0,1.326,- 0,- 0,- 0,- 0,5.358,- 0,- 0,- 0,- 0,- 0,8,- 0,- 0,- 0,- 0,- 0,- 0,- 0,306,- 0,- 0,- 0,2,- 0,- 0,- 0,- 0,32,- 0,- 0,- 0,- 0,- 0,- 0,946,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
2022.0,4.0,Jujuy,- 0,- 0,- 0,- 0,26.0,32,- 0,1.763,- 0,- 0,- 0,1.639,- 0,- 0,- 0,3.947,- 0,- 0,- 0,3.364,- 0,5.125,4.577,- 0,10,- 0,1.114,- 0,12.946,- 0,- 0,- 0,23.494,- 0,- 0,- 0,642,- 0,- 0,4,- 0,12.290,- 0,- 0,- 0,- 0,- 0,29,- 0,- 0,- 0,1,- 0,- 0,- 0,305,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,35.579,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
