Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),SI,--,--,--,SI,SI,SI,--,--
BUENOS AIRES,9 de Julio,Carlos María Naón,--,--,--,--,SI,SI,SI,--,--
BUENOS AIRES,9 de Julio,Dudignac,--,--,SI,--,SI,SI,SI,SI,--
BUENOS AIRES,9 de Julio,La Aurora (Est. La Niña),--,--,--,--,SI,--,--,--,--
BUENOS AIRES,9 de Julio,Manuel B. Gonnet (Est. French),SI,--,--,SI,SI,SI,SI,--,--
BUENOS AIRES,9 de Julio,Marcelino Ugarte (Est. Dennehy),--,--,--,--,SI,--,SI,--,--
BUENOS AIRES,9 de Julio,Morea,--,--,--,--,--,--,SI,SI,--
BUENOS AIRES,9 de Julio,Norumbega,--,--,--,--,--,--,SI,--,--
BUENOS AIRES,9 de Julio,Patricios,SI,--,--,--,--,SI,SI,SI,--
BUENOS AIRES,9 de Julio,Villa General Fournier (Est. 9 de Julio Sud),--,--,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,Adolfo Alsina,Carhué,SI,--,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,--,--,--,SI,SI,--,SI,--,--
BUENOS AIRES,Adolfo Alsina,Delfín Huergo,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Adolfo Alsina,Espartillar,--,--,--,--,SI,--,--,--,--
BUENOS AIRES,Azul,Ariel,--,--,--,--,SI,--,--,--,--
BUENOS AIRES,Azul,Azul,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,Azul,Cacharí,--,--,SI,--,SI,SI,SI,SI,--
BUENOS AIRES,Azul,Chillar,--,--,--,--,SI,SI,SI,SI,SI
BUENOS AIRES,Bahía Blanca,Bahía Blanca,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,Bahía Blanca,Cabildo,--,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,Bahía Blanca,General Daniel Cerri (Est. General Cerri),SI,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,Bahía Blanca,Grunbein,--,--,--,--,SI,SI,--,--,--
BUENOS AIRES,Bahía Blanca,Ingeniero White,--,--,--,SI,SI,SI,--,--,SI
BUENOS AIRES,General Pueyrredón,Chapadmalal,SI,--,--,SI,SI,SI,SI,SI,SI
BUENOS AIRES,General Pueyrredón,El Marquesado,--,--,--,--,--,--,SI,SI,--
BUENOS AIRES,General Pueyrredón,Estacion Camet,--,--,--,--,SI,SI,--,--,--
BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,SI,--,--,SI,SI,SI,--,SI,--
BUENOS AIRES,General Pueyrredón,Mar del Plata,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,General Pueyrredón,Punta Mogotes,--,--,--,--,SI,SI,--,--,--
BUENOS AIRES,General Pueyrredón,Sierra de los Padres,SI,--,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,--,--,--,SI,SI,SI,--,--,--
BUENOS AIRES,General Rodríguez,Country Club Bosque Real - Barrio Morabo,--,--,--,--,SI,SI,--,--,--
BUENOS AIRES,Pellegrini,Pellegrini,SI,SI,SI,--,SI,SI,SI,SI,SI
BUENOS AIRES,Pergamino,Acevedo,SI,SI,--,--,SI,SI,SI,SI,--
BUENOS AIRES,Pergamino,Fontezuela,SI,--,--,SI,--,--,SI,SI,--
BUENOS AIRES,Pergamino,Guerrico,--,SI,--,--,SI,SI,--,SI,SI
BUENOS AIRES,Pergamino,Juan A. de la Peña,--,--,--,--,--,--,--,SI,--
BUENOS AIRES,Pergamino,Juan Anchorena (Est. Urquiza),SI,--,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,Pergamino,La Violeta,SI,--,--,--,SI,SI,SI,--,--
BUENOS AIRES,Pergamino,Manuel Ocampo,--,--,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,Pergamino,Mariano Benítez,--,--,--,--,--,--,SI,--,--
BUENOS AIRES,Pergamino,Mariano H. Alfonzo (Est. San Patricio),--,--,--,--,SI,SI,--,--,SI
BUENOS AIRES,Pergamino,Pergamino,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,Pergamino,Pinzón,--,--,--,--,--,--,--,SI,--
MENDOZA,Lavalle,El Paramillo,--,--,--,--,--,--,--,--,--
CABA,COMUNA 12,VILLA PUEYRREDON,SI,SI,SI,SI,SI,SI,SI,SI,SI
CATAMARCA,Ambato,Los Varela,--,--,--,--,SI,--,--,--,SI
CATAMARCA,Ambato,Singuil,--,--,--,--,SI,--,--,--,--
CATAMARCA,Ancasti,Ancasti,--,--,--,--,SI,--,SI,--,SI
CATAMARCA,Ancasti,Anquincila,--,--,--,--,--,--,--,--,--
CATAMARCA,Ancasti,La Candelaria,--,--,--,--,--,--,--,--,--
CATAMARCA,Ancasti,La Majada,--,--,--,--,--,--,--,--,--
CATAMARCA,Andalgalá,Aconquija,--,--,--,--,SI,SI,--,--,SI
CATAMARCA,Andalgalá,Alto De Las Juntas,--,--,--,--,--,--,--,--,--
CATAMARCA,Andalgalá,Amanao,--,--,--,--,--,SI,SI,--,--
CATAMARCA,Andalgalá,Andalgalá,SI,--,--,SI,SI,SI,SI,SI,SI
CATAMARCA,Andalgalá,Buena Vista,--,--,--,--,--,--,--,--,--
CATAMARCA,Andalgalá,Chaquiago,--,--,--,SI,--,--,--,SI,SI
CATAMARCA,Andalgalá,Choya,--,--,--,--,--,--,--,--,--
CATAMARCA,Andalgalá,El Alamito,--,--,--,--,--,--,--,SI,--
CATAMARCA,Andalgalá,El Lindero,--,--,--,--,--,--,SI,--,--
CATAMARCA,Andalgalá,El Potrero,--,--,--,SI,--,--,SI,--,--
CATAMARCA,Andalgalá,La Aguada,--,--,--,SI,--,--,--,SI,--
CATAMARCA,Andalgalá,La Mesada,--,--,--,SI,--,--,--,--,--
CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,--,--,--,--,SI,--,SI,--,SI
CATAMARCA,Antofagasta de la Sierra,Antofalla,--,--,--,--,--,--,--,--,--
CATAMARCA,Antofagasta de la Sierra,El Peñón,--,--,--,--,--,--,SI,--,--
CATAMARCA,Antofagasta de la Sierra,Los Nacimientos,--,--,--,--,--,--,--,--,--
CATAMARCA,Belén,Barranca Larga,--,--,--,--,--,--,SI,--,--
CATAMARCA,Belén,Belén,--,--,--,--,SI,SI,SI,SI,SI
CATAMARCA,Belén,Cóndor Huasi,--,--,--,--,--,--,--,--,--
CATAMARCA,Belén,Corral Quemado,--,--,--,--,--,--,SI,--,--
CATAMARCA,Belén,El Durazno,--,--,--,--,--,--,--,--,SI
CATAMARCA,Belén,Farallón Negro,--,--,--,--,SI,--,SI,--,--
CATAMARCA,Belén,Hualfín,--,--,--,--,SI,--,SI,--,SI
CATAMARCA,Belén,Jacipunco,--,--,--,--,--,--,SI,--,--
CORDOBA,San Javier,Villa de las Rosas,--,--,--,--,SI,SI,--,SI,--
CORDOBA,San Javier,Villa Dolores,SI,SI,--,SI,SI,SI,SI,SI,--
CORDOBA,San Javier,Villa La Viña,--,--,--,--,--,--,--,SI,--
CORDOBA,San Justo,Alicia,--,SI,--,SI,SI,SI,SI,--,SI
CORDOBA,San Justo,Altos de Chipión,--,--,--,SI,SI,SI,SI,--,SI
CORDOBA,San Justo,Arroyito,SI,SI,--,SI,SI,SI,SI,SI,SI
CORDOBA,San Justo,Balnearia,--,--,--,--,SI,SI,SI,--,--
CORDOBA,San Justo,Brinkmann,SI,--,--,SI,SI,SI,SI,--,--
CORDOBA,San Justo,Colonia 10 de Julio,--,--,--,--,--,--,--,--,--
CORDOBA,San Justo,Colonia Anita,--,--,--,--,--,--,--,SI,--
CORDOBA,San Justo,Colonia Iturraspe,--,--,--,--,--,--,--,--,--
CORDOBA,San Justo,Colonia Las Pichanas,--,--,--,--,--,--,--,SI,--
ENTRE RIOS,Uruguay,Caseros,SI,--,--,SI,SI,SI,SI,SI,--
ENTRE RIOS,Uruguay,Colonia Elía,--,--,--,SI,SI,--,SI,SI,--
ENTRE RIOS,Uruguay,Concepción del Uruguay,SI,SI,SI,SI,SI,SI,SI,SI,--
ENTRE RIOS,Uruguay,Estancia San Pedro,--,--,--,--,--,--,--,SI,--
ENTRE RIOS,Uruguay,Herrera,SI,--,--,--,SI,--,SI,SI,--
ENTRE RIOS,Uruguay,Las Moscas,--,--,--,SI,SI,--,SI,SI,--
ENTRE RIOS,Uruguay,Líbaros,--,--,--,--,--,--,SI,SI,--
ENTRE RIOS,Uruguay,Pronunciamiento,--,--,--,--,SI,SI,SI,SI,--
ENTRE RIOS,Uruguay,Rocamora,--,--,--,--,--,--,SI,SI,--
ENTRE RIOS,Uruguay,Santa Anita,--,--,--,SI,SI,--,SI,SI,--
ENTRE RIOS,Uruguay,Villa Mantero,SI,--,--,SI,SI,SI,SI,SI,SI
ENTRE RIOS,Uruguay,Villa San Justo,--,--,--,SI,SI,SI,SI,SI,--
ENTRE RIOS,Uruguay,Villa San Marcial (Est. Gobernador Urquiza),--,--,--,--,SI,SI,SI,SI,--
ENTRE RIOS,Victoria,Antelo,--,--,--,--,--,--,--,--,--
