Año,Trimestre,Provincia,Mbps (Media de bajada)
2022,4,Buenos Aires,111.0
2022,4,Capital Federal,18.286
2022,4,Catamarca,8.333
2022,4,Chaco,10.402
2022,4,Chubut,1.592
2022,4,Córdoba,10.877
2022,4,Corrientes,9.472
2022,4,Entre Ríos,8.747
2022,4,Formosa,7.203
2022,4,Jujuy,3.932
2022,4,La Pampa,191.0
2022,4,La Rioja,61.0
2022,4,Mendoza,3.876
2022,4,Misiones,9.124
2022,4,Neuquén,9.537
2022,4,Río Negro,7.531
2022,4,Salta,7.593
2022,4,San Juan,1.639
2022,4,San Luis,3.067
2022,4,Santa Cruz,1.433
2022,4,Santa Fe,903.0
2022,4,Santiago Del Estero,344.0
2022,4,Tierra Del Fuego,1.348
2022,4,Tucumán,8.833
2022,3,Buenos Aires,7.019
2022,3,Capital Federal,10.105
2022,3,Catamarca,6.099
2022,3,Chaco,5.321
2022,3,Chubut,1.557
2022,3,Córdoba,5.632
2022,3,Corrientes,4.507
2022,3,Entre Ríos,4.249
2022,3,Formosa,3.035
2022,3,Jujuy,3.243
2022,3,La Pampa,1.81
2022,3,La Rioja,4.43
2022,3,Mendoza,3.416
2022,3,Misiones,4.93
2022,3,Neuquén,4.781
2022,3,Río Negro,3.413
2022,3,Salta,4.133
2022,3,San Juan,1.584
2022,3,San Luis,1.933
2022,3,Santa Cruz,1.26
2022,3,Santa Fe,4.515
2022,3,Santiago Del Estero,1.769
2022,3,Tierra Del Fuego,1.101
2022,3,Tucumán,5.336
2022,2,Buenos Aires,655.0
2022,2,Capital Federal,9.397
2022,2,Catamarca,5.656
2022,2,Chaco,5.061
2022,2,Chubut,1.491
2022,2,Córdoba,5.351
2022,2,Corrientes,4.331
2022,2,Entre Ríos,4.003
2022,2,Formosa,2.847
2022,2,Jujuy,2.939
2022,2,La Pampa,1.607
2022,2,La Rioja,4.328
2022,2,Mendoza,2.972
2022,2,Misiones,4.623
2022,2,Neuquén,4.653
2022,2,Río Negro,3.326
2022,2,Salta,3.877
2022,2,San Juan,1.444
2022,2,San Luis,1.932
2022,2,Santa Cruz,1.181
2022,2,Santa Fe,4.201
2022,2,Santiago Del Estero,1.634
2022,2,Tierra Del Fuego,1.097
2022,2,Tucumán,5.009
2022,1,Buenos Aires,6.251
2022,1,Capital Federal,8.822
2022,1,Catamarca,5.122
2022,1,Chaco,4.584
2022,1,Chubut,1.34
2022,1,Córdoba,4.989
2022,1,Corrientes,3.811
2022,1,Entre Ríos,3.559
2022,1,Formosa,3.028
2022,1,Jujuy,2.769
2022,1,La Pampa,1.484
2022,1,La Rioja,4.137
2022,1,Mendoza,2.62
2022,1,Misiones,4.187
2022,1,Neuquén,4.305
2022,1,Río Negro,3.109
2022,1,Salta,3.671
2022,1,San Juan,1.199
2022,1,San Luis,2.095
2022,1,Santa Cruz,1.089
2022,1,Santa Fe,3.889
2022,1,Santiago Del Estero,1.45
2022,1,Tierra Del Fuego,1.073
2022,1,Tucumán,4.724
2021,4,Buenos Aires,6.021
2021,4,Capital Federal,8.295
