Año,Trimestre,Accesos por cada 100 hogares,ID
2022,4,78.94,1
2022,4,122.73,2
2022,4,65.77,3
2022,4,43.62,4
2022,4,85.57,5
2022,4,89.03,6
2022,4,51.64,7
2022,4,64.01,8
2022,4,39.41,9
2022,4,58.46,10
2022,4,94.8,11
2022,4,79.86,12
2022,4,51.36,13
2022,4,52.85,14
2022,4,78.67,15
2022,4,68.42,16
2022,4,57.96,17
2022,4,50.88,18
2022,4,90.27,19
2022,4,43.53,20
2022,4,78.4,21
2022,4,48.05,22
2022,4,101.44,23
2022,4,61.04,24
2022,3,78.11,1
2022,3,122.28,2
2022,3,65.33,3
2022,3,43.86,4
2022,3,84.38,5
2022,3,88.31,6
2022,3,48.21,7
2022,3,63.67,8
2022,3,43.76,9
2022,3,58.91,10
2022,3,96.59,11
2022,3,80.66,12
2022,3,51.03,13
2022,3,51.82,14
2022,3,80.37,15
2022,3,67.98,16
2022,3,57.76,17
2022,3,50.8,18
2022,3,81.74,19
2022,3,43.19,20
2022,3,78.55,21
2022,3,47.98,22
2022,3,99.51,23
2022,3,61.14,24
2022,2,77.58,1
2022,2,121.31,2
2022,2,62.4,3
2022,2,43.79,4
2022,2,83.19,5
2022,2,87.48,6
2022,2,48.35,7
2022,2,63.9,8
2022,2,43.42,9
2022,2,57.32,10
2022,2,92.98,11
2022,2,80.14,12
2022,2,49.39,13
2022,2,51.0,14
2022,2,80.02,15
2022,2,67.85,16
2022,2,57.54,17
2022,2,49.46,18
2022,2,81.76,19
2022,2,43.15,20
2022,2,77.9,21
2022,2,47.7,22
2022,2,99.86,23
2022,2,59.31,24
2022,1,76.08,1
2022,1,111.8,2
2022,1,58.21,3
2022,1,44.06,4
2022,1,88.05,5
2022,1,85.76,6
2022,1,47.64,7
2022,1,63.7,8
2022,1,34.96,9
2022,1,58.06,10
2022,1,91.66,11
2022,1,78.77,12
2022,1,48.74,13
2022,1,49.04,14
2022,1,74.17,15
2022,1,67.04,16
2022,1,56.11,17
2022,1,43.55,18
