Año,Trimestre,ingresos_internet,Ingresos TV por suscripción  (miles de $),Ingresos TV satelital (miles de $),ingresos_telefoniafija
2022,4,72443482,62432903.15,29721126.94,32356913.919
2022,3,64086784,52399891.49,27073190.89,29698512.567
2022,2,60419500,46322065.49,23559484.83,31258182.505
2022,1,55219313,42113438.81,21268086.24,30583344.001
2021,4,45467887,38273391.8,18038065.44,40616059.171
2021,3,42999944,36398025.53,18039519.5,20789995.213
2021,2,38239666,33674995.79,18038442.36,22178751.89
2021,1,36676371,31924515.01,18038360.96,21378667.685
2020,4,33539702,26324098.62,14479622.62,19750303.976
2020,3,31997444,25386154.6,12933200.33,18162023.887
2020,2,32102475,24620009.49,12544725.93,21035522.89
2020,1,29946216,25147465.8,12352763.88,17067597.815
2019,4,24169250,22785446.51,12150588.86,20321577.161
2019,3,21652748,20284731.23,10896197.62,13404569.149
2019,2,20743117,18392209.47,9937613.38,14181055.209
2019,1,20207413,17479491.54,8816484.13,12238568.393
2018,4,16637686,15211246.86,8270871.03,8997157.88
2018,3,15410980,14197598.63,8179603.0,10111350.574
2018,2,14319467,13358361.56,7797684.06,7911723.066
2018,1,13171459,12277309.95,7145424.82,8252279.991
2017,4,11226127,11642559.21,6844906.43,5514336.188
2017,3,10065997,10764742.4,6093649.61,6667943.526
2017,2,9678646,9936138.83,5764634.73,6970617.225
2017,1,8701201,9607361.15,5262244.08,6375681.756
2016,4,7483980,8517141.2,5016640.95,4964596.393
2016,3,6912441,8293761.49,4653224.18,4951967.656
2016,2,6534240,7353428.98,4400976.43,4718769.816
2016,1,5936844,7137386.23,4069679.63,4198260.392
2015,4,5376899,6347226.86,3635228.39,3815364.119
2015,3,5153738,6130815.97,3439335.7,3590883.181
2015,2,4701790,5467604.99,3196655.0,3425518.48
2015,1,4876385,5292088.22,3021837.23,3260124.752
2014,4,3950440,4711967.39,2686124.01,3339690.895
2014,3,3478637,4423008.82,2530796.72,3105462.022
2014,2,3270816,4053729.07,2341708.31,2974865.204
2014,1,2984054,3599484.35,2001221.17,2916071.754
