Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2022,4,Buenos Aires,4788466,6199.0,4794665
2022,4,Capital Federal,1549781,2145.0,1551926
2022,4,Catamarca,70908,1.0,70909
2022,4,Chaco,143658,5.0,143663
2022,4,Chubut,167855,904.0,168759
2022,4,Córdoba,1049592,68.0,1049660
2022,4,Corrientes,155449,4.0,155453
2022,4,Entre Ríos,270952,22.0,270974
2022,4,Formosa,61840,0.0,61840
2022,4,Jujuy,118218,0.0,118218
2022,4,La Pampa,113993,171.0,114164
2022,4,La Rioja,86258,4.0,86262
2022,4,Mendoza,291327,777.0,292104
2022,4,Misiones,186269,0.0,186269
2022,4,Neuquén,159712,468.0,160180
2022,4,Río Negro,161544,548.0,162092
2022,4,Salta,205855,5.0,205860
2022,4,San Juan,103545,281.0,103826
2022,4,San Luis,135028,192.0,135220
2022,4,Santa Cruz,50005,198.0,50203
2022,4,Santa Fe,887581,110.0,887691
2022,4,Santiago Del Estero,119492,2.0,119494
2022,4,Tierra Del Fuego,54948,312.0,55260
2022,4,Tucumán,263392,30.0,263422
2022,3,Buenos Aires,4715469,6199.0,4721668
2022,3,Capital Federal,1545534,2145.0,1547679
2022,3,Catamarca,70292,1.0,70293
2022,3,Chaco,144141,5.0,144146
2022,3,Chubut,164874,904.0,165778
2022,3,Córdoba,1038600,68.0,1038668
2022,3,Corrientes,144842,4.0,144846
2022,3,Entre Ríos,268937,22.0,268959
2022,3,Formosa,68537,1.0,68538
2022,3,Jujuy,118823,0.0,118823
2022,3,La Pampa,115921,171.0,116092
2022,3,La Rioja,86860,4.0,86864
2022,3,Mendoza,288746,777.0,289523
2022,3,Misiones,182157,0.0,182157
2022,3,Neuquén,162693,468.0,163161
2022,3,Río Negro,160010,548.0,160558
2022,3,Salta,204536,5.0,204541
2022,3,San Juan,103118,281.0,103399
2022,3,San Luis,121888,182.0,122070
2022,3,Santa Cruz,49312,198.0,49510
2022,3,Santa Fe,887700,110.0,887810
2022,3,Santiago Del Estero,119030,2.0,119032
2022,3,Tierra Del Fuego,53584,312.0,53896
2022,3,Tucumán,263087,30.0,263117
2022,2,Buenos Aires,4660984,6199.0,4667183
2022,2,Capital Federal,1534626,2145.0,1536771
2022,2,Catamarca,67007,1.0,67008
2022,2,Chaco,143559,5.0,143564
2022,2,Chubut,161901,904.0,162805
2022,2,Córdoba,1026367,68.0,1026435
2022,2,Corrientes,144993,4.0,144997
2022,2,Entre Ríos,269330,22.0,269352
2022,2,Formosa,67881,0.0,67881
2022,2,Jujuy,115314,0.0,115314
2022,2,La Pampa,111356,171.0,111527
2022,2,La Rioja,86026,4.0,86030
2022,2,Mendoza,278785,777.0,279562
2022,2,Misiones,178813,0.0,178813
2022,2,Neuquén,161500,468.0,161968
2022,2,Río Negro,159216,548.0,159764
2022,2,Salta,203172,5.0,203177
2022,2,San Juan,100126,281.0,100407
2022,2,San Luis,121559,182.0,121741
2022,2,Santa Cruz,48987,198.0,49185
2022,2,Santa Fe,878749,110.0,878859
2022,2,Santiago Del Estero,118042,2.0,118044
2022,2,Tierra Del Fuego,53458,312.0,53770
2022,2,Tucumán,254497,30.0,254527
2022,1,Buenos Aires,4549131,6293.0,4555424
2022,1,Capital Federal,1415378,2163.0,1417541
2022,1,Catamarca,62377,1.0,62378
2022,1,Chaco,144114,5.0,144119
2022,1,Chubut,170701,927.0,171628
2022,1,Córdoba,1003729,74.0,1003803
2022,1,Corrientes,142574,4.0,142578
2022,1,Entre Ríos,267904,22.0,267926
2022,1,Formosa,54548,0.0,54548
2022,1,Jujuy,116509,0.0,116509
2022,1,La Pampa,109560,172.0,109732
2022,1,La Rioja,84299,4.0,84303
2022,1,Mendoza,274399,786.0,275185
2022,1,Misiones,171508,0.0,171508
2022,1,Neuquén,149208,471.0,149679
2022,1,Río Negro,156821,553.0,157374
2022,1,Salta,197510,5.0,197515
2022,1,San Juan,87888,290.0,88178
2022,1,San Luis,119659,185.0,119844
2022,1,Santa Cruz,48898,204.0,49102
2022,1,Santa Fe,870364,115.0,870479
2022,1,Santiago Del Estero,116459,2.0,116461
2022,1,Tierra Del Fuego,52298,313.0,52611
2022,1,Tucumán,245554,30.0,245584
2021,4,Buenos Aires,4502772,6385.0,4509157
2021,4,Capital Federal,1409935,2184.0,1412119
