Año,Trimestre,Provincia,Accesos por cada 100 hab
2022,4,Buenos Aires,26.72
2022,4,Capital Federal,50.35
2022,4,Catamarca,16.73
2022,4,Chaco,11.66
2022,4,Chubut,26.23
2022,4,Córdoba,27.26
2022,4,Corrientes,13.6
2022,4,Entre Ríos,19.14
2022,4,Formosa,10.03
2022,4,Jujuy,14.95
2022,4,La Pampa,31.23
2022,4,La Rioja,21.26
2022,4,Mendoza,14.33
2022,4,Misiones,14.39
2022,4,Neuquén,23.41
2022,4,Río Negro,21.04
2022,4,Salta,14.04
2022,4,San Juan,12.96
2022,4,San Luis,25.83
2022,4,Santa Cruz,12.95
2022,4,Santa Fe,24.65
2022,4,Santiago Del Estero,11.92
2022,4,Tierra Del Fuego,30.07
2022,4,Tucumán,15.12
2022,3,Buenos Aires,26.37
2022,3,Capital Federal,50.22
2022,3,Catamarca,16.62
2022,3,Chaco,11.72
2022,3,Chubut,25.86
2022,3,Córdoba,27.04
2022,3,Corrientes,12.69
2022,3,Entre Ríos,19.04
2022,3,Formosa,11.14
2022,3,Jujuy,15.06
2022,3,La Pampa,31.82
2022,3,La Rioja,21.47
2022,3,Mendoza,14.24
2022,3,Misiones,14.11
2022,3,Neuquén,23.92
2022,3,Río Negro,20.91
2022,3,Salta,13.99
2022,3,San Juan,12.94
2022,3,San Luis,23.39
2022,3,Santa Cruz,12.85
2022,3,Santa Fe,24.7
2022,3,Santiago Del Estero,11.91
2022,3,Tierra Del Fuego,29.5
2022,3,Tucumán,15.14
2022,2,Buenos Aires,26.13
2022,2,Capital Federal,49.87
2022,2,Catamarca,15.87
2022,2,Chaco,11.7
2022,2,Chubut,25.5
2022,2,Córdoba,26.78
2022,2,Corrientes,12.73
2022,2,Entre Ríos,19.1
2022,2,Formosa,11.05
2022,2,Jujuy,14.66
2022,2,La Pampa,30.63
2022,2,La Rioja,21.33
2022,2,Mendoza,13.78
2022,2,Misiones,13.89
2022,2,Neuquén,23.82
2022,2,Río Negro,20.87
2022,2,Salta,13.94
2022,2,San Juan,12.6
2022,2,San Luis,23.4
2022,2,Santa Cruz,12.84
2022,2,Santa Fe,24.5
2022,2,Santiago Del Estero,11.84
2022,2,Tierra Del Fuego,29.6
2022,2,Tucumán,14.69
2022,1,Buenos Aires,25.56
2022,1,Capital Federal,46.01
2022,1,Catamarca,14.81
2022,1,Chaco,11.78
2022,1,Chubut,26.99
2022,1,Córdoba,26.26
2022,1,Corrientes,12.55
2022,1,Entre Ríos,19.05
2022,1,Formosa,8.9
