Año,Trimestre,Provincia,Accesos por cada 100 hogares
2022,4,Buenos Aires,78.94
2022,4,Capital Federal,122.73
2022,4,Catamarca,65.77
2022,4,Chaco,43.62
2022,4,Chubut,85.57
2022,4,Córdoba,89.03
2022,4,Corrientes,51.64
2022,4,Entre Ríos,64.01
2022,4,Formosa,39.41
2022,4,Jujuy,58.46
2022,4,La Pampa,94.8
2022,4,La Rioja,79.86
2022,4,Mendoza,51.36
2022,4,Misiones,52.85
2022,4,Neuquén,78.67
2022,4,Río Negro,68.42
2022,4,Salta,57.96
2022,4,San Juan,50.88
2022,4,San Luis,90.27
2022,4,Santa Cruz,43.53
2022,4,Santa Fe,78.4
2022,4,Santiago Del Estero,48.05
2022,4,Tierra Del Fuego,101.44
2022,4,Tucumán,61.04
2022,3,Buenos Aires,78.11
2022,3,Capital Federal,122.28
2022,3,Catamarca,65.33
2022,3,Chaco,43.86
2022,3,Chubut,84.38
2022,3,Córdoba,88.31
2022,3,Corrientes,48.21
2022,3,Entre Ríos,63.67
2022,3,Formosa,43.76
2022,3,Jujuy,58.91
2022,3,La Pampa,96.59
2022,3,La Rioja,80.66
2022,3,Mendoza,51.03
2022,3,Misiones,51.82
2022,3,Neuquén,80.37
2022,3,Río Negro,67.98
2022,3,Salta,57.76
2022,3,San Juan,50.8
2022,3,San Luis,81.74
2022,3,Santa Cruz,43.19
2022,3,Santa Fe,78.55
2022,3,Santiago Del Estero,47.98
2022,3,Tierra Del Fuego,99.51
2022,3,Tucumán,61.14
2022,2,Buenos Aires,77.58
2022,2,Capital Federal,121.31
2022,2,Catamarca,62.4
2022,2,Chaco,43.79
2022,2,Chubut,83.19
2022,2,Córdoba,87.48
2022,2,Corrientes,48.35
2022,2,Entre Ríos,63.9
2022,2,Formosa,43.42
2022,2,Jujuy,57.32
2022,2,La Pampa,92.98
2022,2,La Rioja,80.14
2022,2,Mendoza,49.39
2022,2,Misiones,51.0
2022,2,Neuquén,80.02
2022,2,Río Negro,67.85
2022,2,Salta,57.54
2022,2,San Juan,49.46
2022,2,San Luis,81.76
2022,2,Santa Cruz,43.15
2022,2,Santa Fe,77.9
2022,2,Santiago Del Estero,47.7
