Año,Trimestre,IPC US,IPC AR,USDARS oficial,USDARS blue,PBI millones
2013,1,232773,298,501.0,886.0,2888981
2013,2,233504,309,524.0,866.0,3387811
2013,3,234149,331,558.0,976.0,3436547
2013,4,233049,351,605.0,1143.0,3679896
2014,1,236293,402,760.0,1114.0,3917649
2014,2,238343,433,806.0,1344.0,4702630
2014,3,238031,461,830.0,1378.0,4685503
2014,4,234812,491,851.0,1324.0,5010564
2015,1,236119,518,869.0,1272.0,5092694
2015,2,238638,549,896.0,1506.0,5951479
2015,3,237945,584,925.0,1517.0,6221731
2015,4,236525,621,1018.0,1497.0,6552140
2016,1,238132,697,1448.0,1470.0,6962845
2016,2,241038,751,1423.0,1539.0,8401125
2016,3,241428,791,1495.0,1594.0,8448890
2016,4,241432,833,1545.0,1646.0,8942135
2017,1,243801,880,1568.0,1617.0,9157377
2017,2,244955,925,1574.0,1797.0,10595155
2017,3,246819,963,1728.0,1808.0,10937240
2017,4,246524,1014,1754.0,2016.0,11533613
2018,1,249554,1083,1968.0,2426.0,11975804
2018,2,251989,1169,2354.0,2880.0,0
