Año,Trimestre,Ingresos (miles de pesos)
2022,4,72443482
2022,3,64086784
2022,2,60419500
2022,1,55219313
2021,4,45467887
2021,3,42999944
2021,2,38239666
2021,1,36676371
2020,4,33539702
2020,3,31997444
2020,2,32102475
2020,1,29946216
2019,4,24169250
2019,3,21652748
2019,2,20743117
2019,1,20207413
2018,4,16637686
2018,3,15410980
2018,2,14319467
2018,1,13171459
2017,4,11226127
2017,3,10065997
2017,2,9678646
2017,1,8701201
2016,4,7483980
2016,3,6912441
2016,2,6534240
2016,1,5936844
2015,4,5376899
2015,3,5153738
2015,2,4701790
2015,1,4876385
2014,4,3950440
2014,3,3478637
2014,2,3270816
2014,1,2984054
