Año,Trimestre,Ingresos (miles de $)
2014,1,291.607.175
2014,2,297.486.520
2014,3,310.546.202
2014,4,333.969.090
2015,1,326.012.475
2015,2,342.551.848
2015,3,359.088.318
2015,4,381.536.412
2016,1,419.826.039
2016,2,471.876.982
2016,3,495.196.766
2016,4,496.459.639
2017,1,637.568.176
2017,2,697.061.722
2017,3,666.794.353
2017,4,551.433.619
2018,1,825.227.999
2018,2,791.172.307
2018,3,1.011.135.057
2018,4,899.715.788
2019,1,1.223.856.839
2019,2,1.418.105.521
2019,3,1.340.456.915
2019,4,2.032.157.716
2020,1,1.706.759.782
2020,2,2.103.552.289
2020,3,1.816.202.389
2020,4,1.975.030.398
2021,1,2.137.866.768
2021,2,2.217.875.189
2021,3,2.078.999.521
2021,4,4.061.605.917
2022,1,30.583.344
2022,2,312.581.825
2022,3,2.969.851.257
2022,4,3.235.691.392
