Año,Trimestre,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Total
2022,4,31981,85668,1075272,1109421,765015,335573,7410902,394282,11208114
2022,3,33013,96727,1161370,1151906,823505,479822,6995750,349035,11091128
2022,2,33667,99498,1193090,1197030,856562,485321,6741922,351594,10958684
2022,1,3489,10484,1263273,1209148,967508,509830,6336187,198333,10624009
2021,4,41262,28521,1413208,1245333,976539,558358,6032322,194251,10489794
2021,3,40174,41437,2550229,1095772,710122,536364,4948174,163269,10085541
2021,2,40172,42024,2531271,1080279,693277,647401,4661291,167369,9863084
2021,1,39487,41674,2593477,1072722,737930,595920,4379965,186797,9647972
2020,4,3951,42185,2622638,1073875,786595,582420,4239237,185102,9571562
2020,3,41038,44005,2637984,1040017,799350,538567,4053461,201777,9356199
2020,2,41038,4869,2651502,1053107,807775,523437,3711499,194008,9031056
2020,1,4255,5617,2649819,1022014,814470,532309,3500882,194212,8812426
2019,4,38272,2898,2792307,1046128,851619,1004083,2830746,201046,8793181
2019,3,241713,80599,3309137,1026859,806466,1141545,2314898,243467,9164684
2019,2,20279,9598,3444458,871142,1169632,1250366,1677830,247983,8960181
2019,1,166573,195706,3428759,882836,1464748,1244215,1138728,12657,8648135
2018,4,13874,201196,3337982,882388,1472634,1688748,599579,152388,8473655
2018,3,5675,220589,3401277,859413,1607137,1571692,524777,156475,8347035
2018,2,5972,219467,3316868,979416,1905839,1000036,444391,238455,8110444
2018,1,7309,215406,3272724,976956,2068087,862010,397977,236584,8037053
2017,4,15041,221474,3773159,1005545,1730353,631946,337559,155145,7870222
2017,3,19022,217997,4062226,1062810,1592304,353480,245790,0,7553629
2017,2,22366,222766,4416065,990281,1342000,231604,98635,0,7323717
2017,1,20653,230159,4584534,975027,1129987,210668,47990,0,7199018
2016,4,20724,233398,4673339,971094,1038029,169522,38590,0,7144696
2016,3,20104,294413,4816081,936533,919208,124564,31022,0,7141925
2016,2,44008,384221,5058481,796998,785759,73977,29020,0,7172464
2016,1,30428,40481,4944358,762999,641646,27664,23380,0,6835285
2015,4,34243,427394,5049640,726740,639011,17568,22170,0,6916766
2015,3,3503,455777,5087802,701187,539414,13101,20677,0,6852988
2015,2,40723,500175,5138431,645440,432762,10045,18529,0,6786105
2015,1,41158,516919,5121423,571620,348102,7643,16347,0,6623212
2014,4,44075,554749,5084556,496251,276254,4371,15229,0,6475485
2014,3,3743,608018,5153437,373372,182483,507,12424,0,6367671
2014,2,41064,656408,5149574,341689,147273,478,12259,0,6348745
2014,1,52684,687619,5130294,289182,101127,345,11595,0,6272846
