Año,Trimestre,Provincia,Otros,"0,256 Mbps","0,375 Mbps","0,625 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,2 Mbps","1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps","6,7 Mbps",3 Mbps,"3,2 Mbps","3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,2 Mbps","10,6 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,19 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,11 Mbps","25,5 Mbps",26 Mbps,27 Mbps,28 Mbps,29 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,37 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,47 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps",51 Mbps,"50,25 Mbps",52 Mbps,54 Mbps,55 Mbps,56 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,63 Mbps,64 Mbps,65 Mbps,66 Mbps,67 Mbps,68 Mbps,70 Mbps,71 Mbps,75 Mbps,77 Mbps
2022,4,Buenos Aires,97634,18,,,28.724,192,4611,18736,,,141,21152,,26,,53.034,,,41976,14269,65,32973,96230,,10945,984,64913,517,204.191,,,10,22677,,212,44,85876,258,2,161,,135315,,3,1,18,88,40387,,,,,,,,777236,1610,16,1,1365,4,,,,3790,9,,,,777,1,463798,,,,,,113,,1,59,435439,78,1,,,14,,,,5655,,90796,
2022,4,Capital Federal,106772,31,,,451.0,34,1307,3789,,,,286,,,,3.564,,,11975,991,,3427,11077,,7,,16652,3,47.991,,,5,12,,,,29692,5,,,,6622,,1,,,,2370,,,,,,,,58801,,,,9,,,,30,122,,,,,,,76732,,,,,,1,,,,105156,,,,,,1,,,15,,28406,
2022,4,Catamarca,2280,,,,34.0,37,,315,,,,115,,,,979.0,,,,,,71,1551,,1,,,,5.027,,,,407,,,,742,,,,,3489,,,,,2228,1,,,,,,,,893,,,,,,,,,,,,,,,,30388,,,,,,,,,,,,,,,,,,,,,,
2022,4,Chaco,3909,,225,111,234.0,2,,660,,25,,780,,,,3.909,,,167,385,,3588,7213,,106,,702,1,17.037,,,,137,,,,2808,,,,,3759,,,,,,747,,,,,,,,2303,,,,,,,,,18,,,,,,,27538,,1,,,,,,,,,,,,,,,,,,,,
2022,4,Chubut,20026,8,,,69.0,32,836,778,,,,5910,,,,5.397,,,11441,5571,,2407,15731,,155,,12646,151,18.055,,,1,14445,,,32,18677,,,,,1573,,,,,2967,4134,,,,,,,,9658,,,,,,,,,18,,,,,140,,17350,,,,,,,,,,,,,,,,,,,,,,
2022,4,Córdoba,17610,2,,,87.0,10,83,9846,,,7,8156,21,154,,35.41,,4,4897,13730,,7765,73542,7,2772,,13784,1761,89.871,70,,87,8527,10,35,10,25249,134,,58,,28939,1,3,,,2,15300,111,,31,,,,,5371,,,,8,,,,,218,,,,,,,202477,23,,6,,,,,,,4954,,,,,,,,,6,,54,
2022,4,Corrientes,7998,,,,10.0,57,118,3164,,,,2959,,,,6.371,,,480,1738,,1795,9304,,,,4584,,20.274,,,,2,,,,1773,1108,,,,4142,,,,,,425,,,,,,,,3359,,1,,,,,,,,,,,,,,25837,,,,,,,,,,,,,,,,,,,,,,
2022,4,Entre Ríos,,1,,,20.0,86,113,4609,,,,5452,,,,9.83,,,390,2610,,5716,21631,,1139,,2400,,43.161,,,,2828,,,,4657,1,,1,,13440,,,,,1,758,,,,,,,,21742,,,,,,,,,,,,,,,,34033,,,,,,,,,,51,,,,,,,,,,,,
2022,4,Formosa,698,,,,49.0,35,,245,,,,1631,,,,10.385,,,,3296,,1714,5432,,108,,137,,12.146,,,,40,,,,1326,,,,,5358,,,,,,8,,,,,,,,306,,,,2,,,,,32,,,,,,,946,,,,,,,,,,,,,,,,,,,,,,
2022,4,Jujuy,,,,,26.0,32,,1763,,,,1639,,,,3.947,,,,3364,,5125,4577,,10,,1114,,12.946,,,,23494,,,,642,,,4,,12290,,,,,,29,,,,1,,,,305,,,,,,,,,,,,,,,,35579,,,,,,,,,,,,,,,,,,,,,,
