Año,Trimestre,Mbps (Media de bajada),Trimestre.1
2022,4,106.56,Oct-Dic 2022
2022,3,62.46,Jul-Sept 2022
2022,2,58.44,Abr-Jun 2022
2022,1,55.11,Ene-Mar 2022
2021,4,52.34,Oct-Dic 2021
2021,3,48.46,Jul-Sept 2021
2021,2,45.63,Abr-Jun 2021
2021,1,43.11,Ene-Mar 2021
2020,4,42.36,Oct-Dic 2020
2020,3,40.67,Jul-Sept 2020
2020,2,38.32,Abr-Jun 2020
2020,1,37.52,Ene-Mar 2020
2019,4,28.26,Oct-Dic 2019
2019,3,24.18,Jul-Sept 2019
2019,2,20.33,Abr-Jun 2019
2019,1,17.38,Ene-Mar 2019
2018,4,15.95,Oct-Dic 2018
2018,3,15.36,Jul-Sept 2018
2018,2,13.8495399422441,Abr-Jun 2018
2018,1,13.221339833489,Ene-Mar 2018
2017,4,12.0076260812107,Oct-Dic 2017
2017,3,8.33904815764714,Jul-Sept 2017
2017,2,7.15995552367739,Abr-Jun 2017
2017,1,6.62407908134137,Ene-Mar 2017
2016,4,6.33738413446842,Oct-Dic 2016
2016,3,5.9387765869846,Jul-Sept 2016
2016,2,5.42353097512933,Abr-Jun 2016
2016,1,5.08370177629755,Ene-Mar 2016
2015,4,4.99044890054109,Oct-Dic 2015
2015,3,4.78891116867562,Jul-Sept 2015
2015,2,4.54538147818226,Abr-Jun 2015
2015,1,4.35027886167618,Ene-Mar 2015
2014,4,4.15688796190556,Oct-Dic 2014
2014,3,3.86726501227843,Jul-Sept 2014
2014,2,3.75871218894443,Abr-Jun 2014
2014,1,3.6171267670209,Ene-Mar 2014
